algo,fc,beta,c,k0,l,k1,k2,kp,lp,k_routing,x_routing
de,200.0,7.0,0.07,0.05759928787695938,5.0,0.1,0.05,0.01,0.3,4.039958044051823,0.14314899119185534
sce,200.0,7.0,0.07,0.05759935476326072,5.0,0.1,0.05,0.01,0.3,4.039859590418269,0.1431518652420688
pso,192.81655706953168,3.7386729581039844,0.021473013337029927,0.055160523572730685,3.494753919872998,0.1,0.029583770554335965,0.034038178792407524,0.42371076547884434,4.044199736785937,0.1446829549350217
ga,160.51421968028677,4.177903470136039,0.024511137454027103,0.06396541517088489,4.807919324628402,0.07066206949542343,0.045196217332311696,0.02498450458505885,0.7317068788900514,3.992099802981101,0.07821852133554302
two_stage,197.7900556028162,6.892046647858107,0.07,0.05748892823638911,5.0,0.1,0.05,0.01,0.3,4.039776347412389,0.14306543684399536
