time,rain,evaporation,runoff,net rain,Subbasin_1_Rain,Subbasin_2_Rain,Subbasin_3_Rain,Subbasin_4_Rain,Subbasin_5_Rain,Subbasin_6_Rain,Subbasin_7_Rain,Subbasin_8_Rain
2006-08-03 19:00:00,0.0,0.025,237.500000000021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-08-03 20:00:00,0.2942,0.025,231.999999999996,0.2692,0.796157854455079,0.259576277724218,0.0,0.523116953190465,0.0521331091828025,0.00220350842605485,0.103757834262472,0.227014679399579
2006-08-03 21:00:00,2.7442,0.025,796.200000000004,2.7192,0.800960536386231,0.935105930568946,0.16972797613954,1.22251956438105,3.44203129210047,7.65124488008839,3.83606092571875,6.15648553062057
2006-08-03 22:00:00,8.7,0.025,41.1,8.675,4.0,4.0,4.50918392841862,5.83639934958465,11.2088463367373,15.6600547605259,13.0805050741213,13.7203307527578
2006-08-03 23:00:00,17.338,0.025,159.79999999998,17.313,7.49279597710328,6.48670552073291,7.69727976139541,10.1213767734129,23.4862673934852,37.7429908833769,27.8602716939945,35.6242630946929
2006-08-04 00:00:00,21.585,0.0125,153.500000000005,21.5725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-08-04 01:00:00,19.4255,0.0125,328.0,19.413,24.9495718397229,17.9069386451304,24.3875842266744,23.0379820217968,18.5937861504052,14.1964105714165,21.838249399286,10.1369937890905
2006-08-04 02:00:00,14.2015,0.0125,1028.99999999999,14.189,18.5240134096558,21.8776482642236,18.293536310186,15.5652257787893,11.2258467376976,14.8123910038567,11.1979212222594,9.94113060258807
2006-08-04 03:00:00,7.9585,0.0125,1568.11111111112,7.946,5.56243486510497,14.2818854869815,11.8210880954418,6.61415196885768,7.57119188692482,5.65675157287726,8.98237356450569,5.79864997555236
2006-08-04 04:00:00,7.071,0.0125,1318.11111111111,7.0585,3.06963888800169,12.7951799662486,15.9724482147441,5.85554686373954,6.27380538071453,4.66446177436601,3.50328346314362,4.32854038676009
2006-08-04 05:00:00,5.7675,0.0125,1317.61111111111,5.755,4.54322413738036,10.5797668756025,9.15136011930231,5.45100909649788,5.11103174773475,3.84544778269281,4.02917562373466,2.20654935874277
2006-08-04 06:00:00,2.8386,0.0125,1317.11111111111,2.8261,1.50720402289673,2.51329447926709,6.33027202386047,2.77001667339882,3.6112320418831,1.69801642733631,2.67726791782562,1.79186477075804
2006-08-04 07:00:00,1.8051,0.0125,1377.22222222223,1.7926,1.5,1.5,4.32108809544184,1.79713766801464,1.40430251453908,1.69801642733631,1.63255758882246,1.76320445477931
2006-08-04 08:00:00,1.2711,0.0125,1154.99999999998,1.2586,0.502401340965576,0.837764826422364,1.68302720238605,0.930472066506791,1.65349671597256,1.66534317691498,1.7555094597216,1.81123006177964
2006-08-04 09:00:00,2.5806,0.0125,1502.22222222223,2.5681,0.502401340965576,0.837764826422364,1.68302720238605,0.930472066506791,1.65349671597256,4.14882725304725,3.62323746774537,8.94422813196652
2006-08-04 10:00:00,2.9949,0.0125,1577.22222222223,2.9824,0.00480268193115131,0.675529652844728,1.68302720238605,1.0764155452432,4.57979893909789,7.4889783044661,6.34374998745048,6.32548055202132
2006-08-04 11:00:00,5.9844,0.0125,1577.22222222223,5.9719,1.0096053638623,2.35105930568946,1.68302720238605,2.69573052200278,9.19429715864548,13.3366254406754,14.0025698075688,9.43393797250507
2006-08-04 12:00:00,8.2683,0.0125,1577.2222222222,8.2558,1.00240134096558,1.33776482642236,2.68442226160933,3.20924884687558,8.0808241267359,16.1226158947061,10.6714030549558,25.9070608576128
2006-08-04 13:00:00,4.8323,0.0125,1577.22222222223,4.8198,5.49279597710327,4.48670552073291,2.26010232126048,4.88598457323123,5.3889187880338,5.33333056448886,6.10373463848291,5.41455232131774
2006-08-04 14:00:00,1.0367,0.0125,1885.55555555557,1.0242,0.801440804579346,1.00265889585342,1.58119041670232,0.970444144406173,0.926134714353473,1.00000000027382,0.755521058244794,1.21746124065945
2006-08-04 15:00:00,1.7717,0.0125,1635.55555555556,1.7592,0.801440804579346,1.00265889585342,1.41146244056278,0.794658501498436,0.412959303865395,1.82782802565124,2.37871212999714,6.53676465759003
2006-08-04 16:00:00,4.4305,0.0125,1635.55555555553,4.418,0.00528295012426644,0.743082618129201,2.62659845249301,1.02793270720777,1.29986101704736,8.13254206907598,4.45979478230748,17.0022614603539
2006-08-04 17:00:00,0.8589,0.0125,1571.11111111113,0.8464,0.502881609158691,0.905317791706837,0.966054404772093,0.678802351360088,0.949559657224891,1.06622624230401,1.03553919635597,0.858052931743552
2006-08-04 18:00:00,2.1559,0.0125,1576.1111111111,2.1434,0.497598659034425,0.162235173577636,3.75459196420931,1.72017473873819,4.14347480999585,1.06622624230401,6.46803290717238,1.00708657483294
2006-08-04 19:00:00,0.8215,0.0125,1256.66666666666,0.809,0.502401340965576,0.837764826422364,2.33027202386046,0.98369591369487,0.790420866608218,0.0044070168521097,0.0,0.0
2006-08-04 20:00:00,0.0,0.0125,1256.66666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-08-04 21:00:00,0.2095,0.0125,1256.66666666666,0.197,0.0,0.0,0.915136011930231,0.209121896320112,0.318834673739059,0.0,0.348236776334385,0.00955343865957645
2006-08-04 22:00:00,0.0435,0.0125,1040.0,0.031,0.0,0.0,0.0,0.0,0.0,0.165565605075485,5.79941995111625e-06,0.203115589399631
2006-08-04 23:00:00,0.166,0.0125,891.851851851942,0.1535,0.0,0.0,0.41513601193023,0.126066658468478,0.0615087853642167,0.167769113501539,5.79941995111625e-06,0.203115589399631
2006-08-05 00:00:00,0.0,0.06667,891.851851851671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-08-05 01:00:00,0.138,0.06667,891.851851851942,0.07133,0.00720402289672697,1.01329447926709,0.0,0.0,0.0,0.0,0.0,0.0
2006-08-05 02:00:00,1.33,0.06667,844.0,1.26333,0.0,0.0,0.0,0.850877573459628,1.2313619923424,2.3509627865331,0.295790991348356,1.68697338580112
2006-08-05 03:00:00,0.2514,0.06667,607.388888888896,0.18473,0.00576321831738157,0.810635583413674,0.0,0.130904242070712,0.104266218365605,0.0044070168521097,0.0,0.0
2006-08-05 04:00:00,0.1104,0.06667,606.888888888896,0.04373,0.00576321831738157,0.810635583413674,0.0,0.0,0.0,0.0,0.0,0.0
2006-08-05 05:00:00,0.029,0.06667,537.111111111108,0.0,0.0,0.0,0.0,0.0,0.138407893241491,0.332230886635369,0.0479995901415443,0.0603162925009375
2006-08-05 06:00:00,0.0,0.06667,536.777777777774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-08-05 07:00:00,0.0,0.06667,536.444444444441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-08-05 08:00:00,0.1533,0.06667,292.000000000015,0.08663,0.00432241373803618,0.607976687560255,0.08486398806977,0.0878928214538685,0.213092089111847,0.0,0.0,0.0
2006-08-05 09:00:00,0.0828,0.06667,242.0,0.01613,0.00432241373803618,0.607976687560255,0.0,0.0,0.0,0.0,0.0,0.0
2006-08-05 10:00:00,3.0656,0.06667,743.44444444443,2.99893,8.46349961732325,3.36597463838007,0.0,5.09831647737531,2.95583705788791,6.98368157319216,1.16751907019573,2.06658638761717
2006-08-05 11:00:00,0.3366,0.06667,415.311111111108,0.26993,0.00432241373803618,0.607976687560255,0.0,0.235627635727282,0.187679193058089,0.00793263033379746,0.0,0.0
2006-08-05 12:00:00,0.105,0.06667,420.511111111108,0.03833,0.0,0.0,0.0,0.0,0.260973696793149,0.0,1.04471032900316,0.0286603159787293
2006-08-05 13:00:00,0.676,0.06667,284.322222222222,0.60933,0.0,0.0,5.396768155093,0.787988986630586,0.121883790358385,0.0,0.0,0.0
2006-08-05 14:00:00,0.2002,0.06667,287.022222222222,0.13353,0.497598659034425,0.162235173577636,0.664217619088369,0.383023779989938,0.0150010818902627,0.0,0.0,0.0
2006-08-05 15:00:00,0.0832,0.06667,177.811111111124,0.01653,0.0,0.0,0.664217619088369,0.0969832598929952,0.0150010818902627,0.0,0.0,0.0
2006-08-05 16:00:00,0.0,0.06667,179.711111111099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-08-05 17:00:00,0.0,0.06667,304.711111111128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-08-05 18:00:00,0.0,0.06667,304.711111111104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-08-05 19:00:00,0.0,0.06667,290.822222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-08-05 20:00:00,0.0,0.06667,290.822222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-08-05 21:00:00,0.0,0.06667,304.211111111104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-08-05 22:00:00,0.0,0.06667,303.711111111128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-08-05 23:00:00,0.0,0.06667,177.311111111099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-08-06 00:00:00,0.0,0.09167,175.911111111124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
