Time,GB_rain,DF_rain,QC_rain,BJ_rain,GA_rain,WL_rain,GZ_rain,avg_rain,GB_out,GZ_in,GZ_out,E0
2011-07-26 03:00:00,,,,,,,,,142.1,223.053,146.639,0.1949
2011-07-26 04:00:00,,,,,,,,,191.6,205.383,0.104,0.1949
2011-07-26 05:00:00,,,,,,,,,120.5,175.691,0.104,0.1949
2011-07-26 06:00:00,,,,,,,,,105.4,119.747,0.104,0.1949
2011-07-26 07:00:00,,,,,,,,,112.8,102.774,0.104,0.1949
2011-07-26 08:00:00,,,,,,,,,80.6,95.499,0.104,0.1949
2011-07-26 09:00:00,,,,,,,,,173.5,84.853,42.765,0.1949
2011-07-26 10:00:00,,,,,,,,,221.7,120.24,211.875,0.1949
2011-07-26 11:00:00,,,,,,,,,220.0,132.308,376.671,0.1949
2011-07-26 12:00:00,,,,,,,,,234.8,161.737,338.904,0.1949
2011-07-26 13:00:00,,,,,,,,,231.6,168.419,40.196,0.1949
2011-07-26 14:00:00,,,,,,,,,248.4,205.607,0.173,0.1949
2011-07-26 15:00:00,,,,,,,,,225.6,238.732,221.239,0.1949
2011-07-26 16:00:00,,,,,,,,,247.8,261.439,368.394,0.1949
2011-07-26 17:00:00,,,,,,,,,236.8,270.64,371.049,0.1949
2011-07-26 18:00:00,0.5,,,,,,,0.1,233.1,296.49,372.324,0.1949
2011-07-26 19:00:00,,,,,,,,,223.4,311.521,373.722,0.1949
2011-07-26 20:00:00,,,,,,,,,229.5,282.48,373.428,0.1949
2011-07-26 21:00:00,,,,,,,,,232.7,294.574,374.923,0.1949
2011-07-26 22:00:00,,,,,,,,,240.5,268.605,374.794,0.1949
2011-07-26 23:00:00,,,,,,,,,232.8,262.831,376.68,0.1949
2011-07-27 00:00:00,,,,,,,,,223.0,227.875,202.036,0.1949
2011-07-27 01:00:00,,,,,,,,,259.1,189.21,0.069,0.1949
2011-07-27 02:00:00,,,,,,,,,263.6,184.252,0.069,0.1949
2011-07-27 03:00:00,,,,,,,,,242.6,148.815,0.069,0.1949
2011-07-27 04:00:00,,,,,,,,,266.5,116.775,0.069,0.1949
2011-07-27 05:00:00,,,,,,,,,237.2,80.998,0.069,0.1949
2011-07-27 06:00:00,,,,,,,,,244.7,77.569,0.069,0.1949
2011-07-27 07:00:00,,,,,,,,,234.7,80.995,0.069,0.1949
2011-07-27 08:00:00,,,,,,,,,254.6,71.042,0.069,0.1949
2011-07-27 09:00:00,,,,,,,,,291.1,80.126,196.515,0.1949
2011-07-27 10:00:00,,,,,,,,,290.5,118.844,374.32,0.1949
2011-07-27 11:00:00,,,,,,,,,301.5,157.412,373.427,0.1949
2011-07-27 12:00:00,,,,,,,,,350.9,183.413,298.024,0.1949
2011-07-27 13:00:00,,,,,,,,,303.0,217.382,183.601,0.1949
2011-07-27 14:00:00,,,,,,,,,314.6,254.685,183.333,0.1949
2011-07-27 15:00:00,,,,,,,,,320.8,272.634,283.93,0.1949
2011-07-27 16:00:00,,,,,,,,,332.4,282.968,375.493,0.1949
2011-07-27 17:00:00,,,,,,,,,373.7,283.233,375.015,0.1949
2011-07-27 18:00:00,,,,,,,,,354.6,292.855,376.042,0.1949
2011-07-27 19:00:00,,,,,,,,,150.3,291.219,376.561,0.1949
2011-07-27 20:00:00,,,,,,,,,180.8,263.691,380.384,0.1949
2011-07-27 21:00:00,,,,,,,,,313.2,266.145,379.764,0.1949
2011-07-27 22:00:00,,,,,,,,,378.9,250.376,382.264,0.1949
2011-07-27 23:00:00,,,,,,,,,386.9,265.143,382.508,0.1949
2011-07-28 00:00:00,,,,,,,,,387.5,273.171,383.647,0.1949
2011-07-28 01:00:00,,,,,,,,,385.7,284.804,385.527,0.1949
2011-07-28 02:00:00,,,,,,,,,375.8,325.43,383.594,0.1949
2011-07-28 03:00:00,,,,,,,,,380.8,332.811,383.488,0.1949
2011-07-28 04:00:00,,,,,,,,,339.8,342.787,381.298,0.1949
2011-07-28 05:00:00,,,,,,,,,315.9,325.414,379.66,0.1949
2011-07-28 06:00:00,,,,,,,,,341.3,308.546,383.818,0.1949
2011-07-28 07:00:00,,,,,,,,,387.4,308.677,386.318,0.1949
2011-07-28 08:00:00,,,,,,,,,390.5,309.155,386.456,0.1949
2011-07-28 09:00:00,,,,,,,,,343.6,309.975,387.858,0.1949
2011-07-28 10:00:00,,,,,,,,,379.0,301.306,388.438,0.1949
2011-07-28 11:00:00,,,,,,,,,388.1,316.134,387.244,0.1949
2011-07-28 12:00:00,,,,,,,,,376.2,333.818,388.259,0.1949
2011-07-28 13:00:00,,,,,,,,,320.5,330.726,388.048,0.1949
2011-07-28 14:00:00,,,,,,,1.0,0.1,388.3,317.809,390.057,0.1949
2011-07-28 15:00:00,,,0.5,,,0.5,33.5,4.9,365.1,328.403,391.149,0.1949
2011-07-28 16:00:00,,,8.5,,,,1.5,1.4,324.2,335.86,394.297,0.1949
2011-07-28 17:00:00,,,,,,,,,333.2,319.77,392.364,0.1949
2011-07-28 18:00:00,,,7.5,1.5,,,,1.3,389.7,306.906,392.467,0.1949
2011-07-28 19:00:00,,,,,,,,,389.2,321.008,391.55,0.1949
2011-07-28 20:00:00,,,,,,,,,386.1,331.026,389.335,0.1949
2011-07-28 21:00:00,,,,,,,,,359.3,314.488,393.307,0.1949
2011-07-28 22:00:00,,,,,,,,,363.3,314.203,392.585,0.1949
2011-07-28 23:00:00,,,,,,,,,297.4,321.335,394.323,0.1949
2011-07-29 00:00:00,,,,,,,,,344.7,309.141,397.912,0.1949
2011-07-29 01:00:00,,,,,,,,,371.4,299.488,394.465,0.1949
2011-07-29 02:00:00,,,,,,,,,366.7,294.554,400.283,0.1949
2011-07-29 03:00:00,,,,,,,,,367.0,294.675,394.034,0.1949
2011-07-29 04:00:00,,,,,,0.5,,0.1,310.9,289.131,399.876,0.1949
2011-07-29 05:00:00,,,0.5,,,,0.5,0.1,263.2,283.937,404.0,0.1949
2011-07-29 06:00:00,1.0,1.5,2.0,2.5,1.0,2.0,1.5,1.6,309.4,277.972,405.175,0.1949
2011-07-29 07:00:00,2.0,4.0,5.0,1.5,2.5,9.0,10.5,4.9,388.6,278.727,398.993,0.1949
2011-07-29 08:00:00,10.5,7.0,9.5,16.5,7.0,8.0,11.0,9.9,239.3,286.417,405.312,0.1949
2011-07-29 09:00:00,8.0,8.0,9.0,9.0,10.0,10.0,7.5,8.8,261.8,262.76,412.1,0.1949
2011-07-29 10:00:00,4.5,6.0,7.0,9.5,5.5,8.0,7.5,6.9,326.0,258.767,416.461,0.1949
2011-07-29 11:00:00,7.5,7.0,11.0,16.5,5.0,11.0,9.5,9.6,330.8,265.223,422.458,0.1949
2011-07-29 12:00:00,8.0,6.0,18.0,25.5,5.5,13.5,9.0,12.2,276.3,282.007,424.77,0.1949
2011-07-29 13:00:00,14.0,22.0,12.0,18.5,20.5,15.5,16.0,16.9,105.6,275.485,420.697,0.1949
2011-07-29 14:00:00,5.0,8.5,13.5,16.0,7.0,28.5,27.5,15.1,25.7,242.074,427.065,0.1949
2011-07-29 15:00:00,13.0,11.0,34.0,30.0,7.5,48.0,19.0,23.2,128.3,261.289,426.84,0.1949
2011-07-29 16:00:00,26.0,14.5,21.5,27.0,19.0,13.0,29.0,21.4,125.7,297.56,431.316,0.1949
2011-07-29 17:00:00,22.5,18.0,14.0,16.0,28.5,13.0,12.5,17.8,218.8,347.959,423.173,0.1949
2011-07-29 18:00:00,0.5,1.0,0.5,1.0,4.5,2.0,2.0,1.6,166.8,435.835,425.086,0.1949
2011-07-29 19:00:00,5.0,6.0,18.0,17.0,5.5,15.5,6.5,10.5,69.7,486.815,422.417,0.1949
2011-07-29 20:00:00,24.5,31.0,39.5,42.0,24.5,37.5,35.5,33.5,36.4,552.682,418.091,0.1949
