Time,GB_rain,DF_rain,QC_rain,BJ_rain,GA_rain,WL_rain,GZ_rain,avg_rain,GB_out,GZ_in,GZ_out,E0
2016-06-21 10:00:00,,,,,,,,,3.55,7.9,9.753,0.1972
2016-06-21 11:00:00,,,,,,,,,3.55,7.9,9.753,0.1972
2016-06-21 12:00:00,,,,,,,,,3.55,7.9,9.753,0.1972
2016-06-21 13:00:00,,,,,,,,,3.55,7.9,9.753,0.1972
2016-06-21 14:00:00,2.0,,18.0,3.5,,23.5,38.0,12.1,3.55,7.9,10.469,0.1972
2016-06-21 15:00:00,,,,0.5,,5.5,6.0,1.7,3.55,7.9,10.022,0.1972
2016-06-21 16:00:00,,,,,0.5,0.5,,0.1,3.55,7.9,9.902,0.1972
2016-06-21 17:00:00,,,,,,,,,3.55,7.9,9.902,0.1972
2016-06-21 18:00:00,,,,,5.0,,,0.7,3.55,7.9,9.902,0.1972
2016-06-21 19:00:00,,,,,,,,,3.55,7.9,9.753,0.1972
2016-06-21 20:00:00,,,3.0,,,,,0.4,3.55,7.9,9.753,0.1972
2016-06-21 21:00:00,,,,,,,,,7.26,7.9,9.753,0.1972
2016-06-21 22:00:00,,,,,,,,,73.6,7.9,9.753,0.1972
2016-06-21 23:00:00,,,,,,,,,65.9,7.9,9.753,0.1972
2016-06-22 00:00:00,,,,,,,,,41.8,7.9,9.753,0.1972
2016-06-22 01:00:00,,,,,,,,,3.55,9.753,9.753,0.1972
2016-06-22 02:00:00,,,,,,,,,3.55,9.753,9.753,0.1972
2016-06-22 03:00:00,,,,,,0.5,,0.1,3.55,15.586,9.753,0.1972
2016-06-22 04:00:00,,,,,,,,,3.55,15.586,9.753,0.1972
2016-06-22 05:00:00,,,,,,,,,3.55,18.502,9.753,0.1972
2016-06-22 06:00:00,,,,,,,,,3.55,15.586,9.753,0.1972
2016-06-22 07:00:00,,,,,,,,,3.55,7.9,9.484,0.1972
2016-06-22 08:00:00,,,,,,,,,3.55,7.9,9.484,0.1972
2016-06-22 09:00:00,,,,,,,,,3.55,7.9,9.484,0.1972
2016-06-22 10:00:00,,,,,,,,,3.55,7.9,9.484,0.1972
