Time,GB_rain,DF_rain,QC_rain,BJ_rain,GA_rain,WL_rain,GZ_rain,avg_rain,GB_out,GZ_in,GZ_out,E0
2010-08-27 08:00:00,,,,,,,,,62.8,7.9,7.98,0.1599
2010-08-27 09:00:00,,,,,,,,,95.0,7.9,7.98,0.1599
2010-08-27 10:00:00,,,,,,,,,46.9,28.317,8.34,0.1599
2010-08-27 11:00:00,,,,,,,,,32.0,28.418,8.58,0.1599
2010-08-27 12:00:00,,2.5,,,,,,0.4,3.12,35.204,8.7,0.1599
2010-08-27 13:00:00,,,,,,,,,3.17,35.334,8.76,0.1599
2010-08-27 14:00:00,,,,,,,,,3.17,38.803,8.79,0.1599
2010-08-27 15:00:00,,,,,,,5.0,0.7,3.17,42.236,8.58,0.1599
2010-08-27 16:00:00,,,,,,,6.0,0.9,3.12,25.369,8.52,0.1599
2010-08-27 17:00:00,,,,,0.5,,,0.1,3.17,21.979,8.52,0.1599
2010-08-27 18:00:00,17.0,5.5,21.0,2.0,0.5,0.5,1.0,6.8,24.8,21.953,8.55,0.1599
2010-08-27 19:00:00,0.5,0.5,1.0,1.5,,,,0.5,40.5,18.585,8.55,0.1599
2010-08-27 20:00:00,,,,,,,,,90.1,7.9,8.55,0.1599
2010-08-27 21:00:00,2.0,,,,,,,0.3,158.9,7.9,8.55,0.1599
2010-08-27 22:00:00,3.5,0.5,,,,,,0.6,118.4,7.9,8.58,0.1599
2010-08-27 23:00:00,0.5,0.5,,,,1.0,,0.3,62.4,7.9,8.58,0.1599
2010-08-28 00:00:00,0.5,,,,1.0,,,0.2,3.17,7.9,8.61,0.1599
2010-08-28 01:00:00,0.5,,,,,,,0.1,3.17,7.9,8.58,0.1599
2010-08-28 02:00:00,,,,,,,,,3.17,7.9,8.58,0.1599
2010-08-28 03:00:00,,,,0.5,,,,0.1,3.17,7.9,8.58,0.1599
2010-08-28 04:00:00,,,,,,,,,3.17,18.729,8.61,0.1599
2010-08-28 05:00:00,,,,,,,,,3.17,25.493,8.61,0.1599
2010-08-28 06:00:00,,,,,,,,,13.4,15.354,8.61,0.1599
2010-08-28 07:00:00,,,,,,,,,49.2,18.739,8.61,0.1599
2010-08-28 08:00:00,,,,,,,,,41.2,18.647,8.58,0.1599
2010-08-28 09:00:00,,,0.5,,,,,0.1,42.6,21.985,8.61,0.1599
2010-08-28 10:00:00,,,,,,,,,65.0,28.642,8.55,0.1599
2010-08-28 11:00:00,,,,,,,,,43.2,35.257,8.58,0.1599
2010-08-28 12:00:00,,,,,,,,,46.1,38.585,8.58,0.1599
2010-08-28 13:00:00,,,,0.5,,,,0.1,18.5,45.293,8.58,0.1599
2010-08-28 14:00:00,,,,1.5,,,2.0,0.5,20.2,45.391,8.61,0.1599
2010-08-28 15:00:00,,2.0,,,9.0,,0.5,1.6,30.7,48.811,8.58,0.1599
2010-08-28 16:00:00,5.0,3.5,15.5,2.5,,33.0,32.0,13.1,44.9,48.819,8.04,0.1599
2010-08-28 17:00:00,,,,,,3.0,0.5,0.5,72.0,52.342,8.61,0.1599
2010-08-28 18:00:00,,,,,,,,,134.0,59.162,8.67,0.1599
2010-08-28 19:00:00,,,,,,,,,120.0,69.364,8.67,0.1599
2010-08-28 20:00:00,,,,,,,,,129.4,81.831,205.088,0.1599
2010-08-28 21:00:00,,,,,,,,,55.7,117.658,304.646,0.1599
2010-08-28 22:00:00,,,,,,,,,44.5,100.919,191.492,0.1599
2010-08-28 23:00:00,,,,1.0,,,,0.1,55.2,98.168,73.21,0.1599
2010-08-29 00:00:00,,,,0.5,,,,0.1,113.3,98.152,8.58,0.1599
