time,precip,evap,T,flow
2018/6/19 20:00,0,0.01,25,1.8
2018/6/19 21:00,0,0.01,25,1.8
2018/6/19 22:00,0,0.01,25,1.8
2018/6/19 23:00,0,0.01,25,1.8
2018/6/20 0:00,0,0.01,25,1.8
2018/6/20 1:00,0,0.01,25,2
2018/6/20 2:00,0,0.01,25,2
2018/6/20 3:00,0,0.01,25,1.8
2018/6/20 4:00,0,0.01,25,1.8
2018/6/20 5:00,0,0.01,25,1.8
2018/6/20 6:00,0,0.01,25,2
2018/6/20 7:00,0,0.01,25,2
2018/6/20 8:00,0,0.01,25,2
2018/6/20 9:00,0,0.01,25,2
2018/6/20 10:00,0,0.01,25,1.8
2018/6/20 11:00,0,0.01,25,1.8
2018/6/20 12:00,0,0.01,25,1.8
2018/6/20 13:00,0.125,0.01,25,1.8
2018/6/20 14:00,9.25,0.01,25,2.6
2018/6/20 15:00,0.125,0.01,25,2.6
2018/6/20 16:00,0,0.01,25,2.8
2018/6/20 17:00,0,0.01,25,2.8
2018/6/20 18:00,1.625,0.01,25,3.4
2018/6/20 19:00,1.625,0.01,25,3.4
2018/6/20 20:00,0,0.01,25,3.2
2018/6/20 21:00,0,0.01,25,3
2018/6/20 22:00,0,0.01,25,3
2018/6/20 23:00,0,0.01,25,2.8
2018/6/21 0:00,0,0.01,25,2.8
2018/6/21 1:00,0.125,0.01,25,2.8
2018/6/21 2:00,0,0.01,25,2.6
2018/6/21 3:00,0,0.01,25,2.6
2018/6/21 4:00,0.125,0.01,25,2.4
2018/6/21 5:00,0,0.01,25,2.4
2018/6/21 6:00,0,0.01,25,2.4
2018/6/21 7:00,0.125,0.01,25,2.4
2018/6/21 8:00,0,0.01,25,2.4
2018/6/21 9:00,0,0.01,25,2.4
2018/6/21 10:00,0,0.01,25,2.2
2018/6/21 11:00,0.125,0.01,25,2.2
2018/6/21 12:00,0.75,0.01,25,2.4
2018/6/21 13:00,10.75,0.01,25,3.2
