Time,GB_rain,DF_rain,QC_rain,BJ_rain,GA_rain,WL_rain,GZ_rain,avg_rain,GB_out,GZ_in,GZ_out,E0
2016-08-14 00:00:00,,,,,,,,,147.0,100.168,124.532,0.1599
2016-08-14 01:00:00,,,,,,,,,107.1,110.308,0.0,0.1599
2016-08-14 02:00:00,,,,,,,,,36.5,101.002,0.0,0.1599
2016-08-14 03:00:00,0.5,0.5,,1.0,,,1.5,0.5,31.9,93.161,0.0,0.1599
2016-08-14 04:00:00,0.5,,,1.0,,,0.5,0.3,36.8,78.66,0.0,0.1599
2016-08-14 05:00:00,,4.5,,,,,,0.6,35.9,60.895,0.0,0.1599
2016-08-14 06:00:00,,1.0,,10.0,1.0,,,1.7,52.0,50.232,0.0,0.1599
2016-08-14 07:00:00,1.0,,,,0.5,,,0.2,61.7,40.185,0.0,0.1599
2016-08-14 08:00:00,,,0.5,0.5,,,,0.1,73.3,31.502,7.623,0.1599
2016-08-14 09:00:00,,,,,,,,,43.4,48.916,145.044,0.1599
2016-08-14 10:00:00,,0.5,0.5,,,0.5,0.5,0.3,32.1,53.834,170.339,0.1599
2016-08-14 11:00:00,0.5,0.5,,,0.5,0.5,,0.3,44.7,58.656,128.936,0.1599
2016-08-14 12:00:00,2.5,4.5,0.5,0.5,2.5,0.5,0.5,1.6,91.7,65.662,102.589,0.1599
2016-08-14 13:00:00,0.5,1.5,3.0,6.0,,2.5,3.0,2.4,27.6,52.237,0.0,0.1599
2016-08-14 14:00:00,,,,,,,,,32.5,67.587,0.0,0.1599
2016-08-14 15:00:00,,,,,,1.5,4.0,0.8,45.3,53.506,0.0,0.1599
2016-08-14 16:00:00,50.0,20.5,,1.0,15.0,10.5,20.0,16.7,58.2,41.92,0.0,0.1599
2016-08-14 17:00:00,7.5,8.0,,13.5,0.5,4.5,9.5,6.2,103.0,60.755,0.0,0.1599
2016-08-14 18:00:00,9.0,18.0,,9.5,14.0,1.5,2.0,7.7,167.0,63.935,0.0,0.1599
2016-08-14 19:00:00,0.5,0.5,,2.0,0.5,0.5,0.5,0.6,128.3,90.879,0.0,0.1599
2016-08-14 20:00:00,,,,,,,,,145.8,94.537,0.0,0.1599
