Time,avg_rain,GB_out,GZ_in,GB_rain,DF_rain,QC_rain,BJ_rain,GA_rain,WL_rain,GZ_rain,E0,Predicted,Observed
2025-07-21 01:00:00,1.6,1.91,79.139,1.0,1.0,1.0,2.0,2.0,2.0,2.0,0.195,116.19967931687833,79.139
2025-07-21 02:00:00,4.1,94.58,108.022,4.5,1.0,7.5,4.5,9.0,1.0,1.0,0.195,95.42200174640121,108.02200000000002
2025-07-21 03:00:00,4.9,97.91,110.577,0.5,0.0,6.5,7.5,1.0,9.5,9.0,0.195,186.037360591501,110.57699999999998
2025-07-21 04:00:00,4.6,1.94,277.535,2.0,9.0,3.0,5.0,3.0,4.0,6.0,0.195,171.54846499699357,277.535
2025-07-21 05:00:00,4.2,1.95,79.183,7.0,3.0,3.5,5.0,4.0,4.0,3.0,0.195,189.19888392549754,79.183
2025-07-21 06:00:00,4.1,1.95,201.859,2.5,5.5,2.0,9.5,5.0,2.0,2.0,0.195,109.84142882201077,201.859
2025-07-21 07:00:00,5.1,1.91,178.802,2.0,3.5,3.0,4.0,16.5,4.0,3.0,0.195,211.53252121567726,178.802
2025-07-21 08:00:00,2.7,1.92,131.2,2.5,2.0,1.0,2.5,2.5,4.0,4.5,0.195,212.0833924560547,131.2
2025-07-21 09:00:00,7.8,140.15,238.468,7.5,8.5,2.0,6.0,8.5,12.5,9.5,0.195,149.03238291293385,238.468
2025-07-21 10:00:00,4.1,195.13,239.363,4.0,1.0,4.0,6.0,6.0,4.0,4.0,0.195,362.87435510289674,239.363
2025-07-21 11:00:00,3.6,139.41,410.564,2.0,4.0,4.0,4.0,3.0,4.0,4.5,0.195,362.36698063457015,410.56399999999996
2025-07-21 12:00:00,1.8,128.8,379.604,0.0,1.0,0.0,0.0,0.0,4.0,7.5,0.195,384.010183556676,379.604
2025-07-21 13:00:00,5.2,193.47,329.266,2.5,3.0,7.0,8.0,7.0,3.0,6.0,0.195,355.1466922186613,329.266
2025-07-21 14:00:00,5.6,181.48,451.253,2.0,5.0,4.0,2.0,7.0,6.0,13.5,0.195,405.41696614503866,451.253
2025-07-21 15:00:00,9.4,248.69,412.291,5.0,7.0,5.0,5.0,9.0,18.5,16.0,0.195,444.61840998780735,412.291
2025-07-21 16:00:00,9.4,243.76,624.34,3.0,6.0,10.0,0.0,5.0,13.5,28.0,0.195,486.45391289925584,624.34
2025-07-21 17:00:00,3.7,271.01,581.228,6.0,4.5,5.5,5.0,0.0,3.0,2.0,0.195,617.2520895384552,581.228
2025-07-21 18:00:00,2.2,336.85,707.784,0.0,0.5,0.5,3.5,5.5,3.0,2.5,0.195,594.7759893357754,707.784
2025-07-21 19:00:00,0.6,337.58,745.267,0.0,1.0,2.0,1.0,0.0,0.5,0.0,0.195,730.7936028765441,745.267
2025-07-21 20:00:00,0.4,337.77,701.06,0.5,0.0,1.0,1.5,0.0,0.0,0.0,0.195,628.1262386150361,701.06
2025-07-21 21:00:00,0.8,105.76,661.785,0.0,0.5,2.5,0.0,1.5,1.0,0.0,0.195,617.6505023959876,661.785
2025-07-21 22:00:00,7.3,2.05,418.72,0.0,14.5,5.5,1.5,3.5,13.0,13.0,0.195,405.0876648253203,418.72
2025-07-21 23:00:00,16.0,1.94,454.294,4.0,17.0,27.5,11.5,14.5,27.5,10.0,0.195,278.4063697884679,454.29400000000004
2025-07-22 00:00:00,5.1,1.81,496.835,0.0,7.0,9.0,1.0,0.0,11.5,7.0,0.195,437.2256722483636,496.835
2025-07-22 01:00:00,1.3,1.84,535.489,2.0,0.0,0.0,0.0,7.0,0.0,0.0,0.195,439.0264386112691,535.489
2025-07-22 02:00:00,0.0,1.72,554.285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.195,511.90905868995196,554.285
2025-07-22 03:00:00,0.0,1.83,332.173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.195,454.34670470571524,332.173
2025-07-22 04:00:00,0.8,1.92,655.063,0.0,0.0,0.0,5.5,0.0,0.0,0.0,0.195,309.8734944227934,655.063
2025-07-22 05:00:00,0.0,1.95,411.036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.195,541.2110765752793,411.03599999999994
2025-07-22 06:00:00,0.1,1.96,372.801,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.195,346.4640774753094,372.801
2025-07-22 07:00:00,0.1,29.22,351.554,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.195,321.9069423148632,351.554
2025-07-22 08:00:00,0.2,43.52,289.112,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.195,322.801042629242,289.112
2025-07-22 09:00:00,0.1,111.8,381.718,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.195,287.2508672152758,381.718
2025-07-22 10:00:00,0.0,162.87,146.913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.195,380.3304005773068,146.913
2025-07-22 11:00:00,0.0,165.69,474.731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.195,222.50528494364025,474.73100000000005
2025-07-22 12:00:00,0.0,167.84,452.546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.195,411.1874939676524,452.546
2025-07-22 13:00:00,0.0,163.82,272.014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.195,390.1716550941468,272.014
2025-07-22 14:00:00,0.0,162.94,372.045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.195,267.81270898741485,372.045
2025-07-22 15:00:00,0.0,177.13,330.406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.195,332.56048806571965,330.406
2025-07-22 16:00:00,0.0,159.31,293.613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.195,323.6292387435436,293.613
2025-07-22 17:00:00,0.0,156.61,341.538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.195,276.99755767148736,341.538
2025-07-22 18:00:00,0.0,116.53,319.486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.195,306.99264609289173,319.486
2025-07-22 19:00:00,0.0,113.62,219.691,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.195,267.3183176465035,219.691
2025-07-22 20:00:00,0.0,89.19,297.718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.195,217.85728139287235,297.718
2025-07-22 21:00:00,0.0,1.75,220.365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.195,249.92630908650162,220.36499999999998
2025-07-22 22:00:00,0.0,1.74,128.268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.195,149.02098148632052,128.268
2025-07-22 23:00:00,0.0,1.73,167.601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.195,126.13144226849082,167.601
