Time,avg_rain,GB_out,GZ_in,GB_rain,DF_rain,QC_rain,BJ_rain,GA_rain,WL_rain,GZ_rain,E0,Predicted,Observed
2014-09-16 01:00:00,45.2,101.0,151.743,46.5,25.5,60.5,60.0,42.5,57.5,24.0,0.136,139.95171087276378,151.743
2014-09-16 02:00:00,5.9,157.4,274.895,10.0,10.0,2.5,2.5,7.5,5.5,3.0,0.136,222.27043816128375,274.895
2014-09-16 03:00:00,0.0,122.5,701.266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.136,351.0162819979638,701.266
2014-09-16 04:00:00,3.6,176.7,237.174,5.0,0.0,9.5,3.0,0.0,8.0,0.0,0.136,590.6086316443384,237.174
2014-09-16 05:00:00,6.9,132.4,418.599,4.5,6.5,11.5,12.5,1.5,8.0,4.0,0.136,375.34192785161736,418.599
2014-09-16 06:00:00,2.9,99.8,356.867,5.0,0.5,1.0,10.0,2.0,1.0,0.5,0.136,419.7584377067685,356.867
2014-09-16 07:00:00,0.2,160.0,255.75,0.0,0.0,0.0,1.0,0.0,0.5,0.0,0.136,361.70568745440244,255.74999999999997
2014-09-16 08:00:00,5.3,226.9,362.425,2.5,5.0,6.0,9.5,4.0,6.0,4.0,0.136,356.00872138635816,362.425
2014-09-16 09:00:00,6.9,102.0,407.295,4.5,6.5,6.5,9.5,6.0,9.5,6.0,0.136,428.82149538320306,407.295
2014-09-16 10:00:00,7.2,119.6,312.659,4.0,8.0,7.0,13.5,8.0,6.5,3.5,0.136,329.65820940108597,312.659
2014-09-16 11:00:00,6.5,101.9,409.046,5.5,5.5,8.0,10.5,6.5,5.5,4.0,0.136,337.2859658638537,409.046
2014-09-16 12:00:00,6.4,73.3,518.709,0.0,3.5,10.5,12.5,2.0,11.0,5.5,0.136,383.29109867061675,518.709
2014-09-16 13:00:00,13.7,98.1,507.901,6.0,6.0,24.0,20.0,8.0,21.0,11.0,0.136,468.047576969862,507.901
2014-09-16 14:00:00,13.9,73.2,740.985,5.0,11.0,26.0,10.5,7.5,19.5,17.5,0.136,540.0395774587691,740.985
2014-09-16 15:00:00,15.1,87.9,897.522,12.5,19.0,21.0,7.5,12.5,16.5,17.0,0.136,682.611866318822,897.522
2014-09-16 16:00:00,8.5,104.3,965.462,3.0,5.0,11.5,7.3,6.0,15.5,11.0,0.136,831.5997098046541,965.462
2014-09-16 17:00:00,5.7,156.8,1143.0,3.0,5.0,5.0,4.0,4.5,9.5,9.0,0.136,903.4287283998729,1143.0
2014-09-16 18:00:00,3.4,145.8,1052.957,4.0,2.0,3.5,3.8,2.5,1.5,6.5,0.136,1063.1678230181335,1052.957
2014-09-16 19:00:00,15.4,89.9,836.725,12.5,11.0,13.5,12.8,18.0,18.5,21.5,0.136,917.763631437242,836.725
2014-09-16 20:00:00,15.7,76.4,957.657,11.0,16.0,16.0,14.0,21.5,9.5,22.0,0.136,766.6024597014786,957.657
2014-09-16 21:00:00,3.1,78.2,869.697,2.5,3.0,4.5,3.8,2.5,4.0,1.5,0.136,913.0304505406023,869.697
2014-09-16 22:00:00,0.3,91.5,853.631,0.5,0.0,0.5,0.0,0.5,0.5,0.0,0.136,804.9067792713046,853.631
2014-09-16 23:00:00,0.0,38.5,472.961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.136,797.1875762883425,472.961
2014-09-17 00:00:00,1.4,50.8,708.333,2.5,0.0,6.0,0.0,0.0,1.0,0.0,0.136,453.8060258962512,708.333
2014-09-17 01:00:00,0.4,40.4,386.111,0.5,0.5,1.5,0.0,0.0,0.5,0.0,0.136,656.5196970307231,386.111
2014-09-17 02:00:00,0.3,62.1,362.352,0.5,0.0,1.5,0.0,0.0,0.0,0.0,0.136,406.1361705623567,362.352
2014-09-17 03:00:00,0.4,41.4,722.189,1.0,0.5,1.0,0.0,0.0,0.5,0.0,0.136,402.8399304471016,722.189
2014-09-17 04:00:00,0.0,37.7,236.066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.136,580.6193806869686,236.066
2014-09-17 05:00:00,0.0,52.8,534.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.136,286.5959086265266,534.59
