Time,avg_rain,GB_out,GZ_in,GB_rain,DF_rain,QC_rain,BJ_rain,GA_rain,WL_rain,GZ_rain,E0,Predicted,Observed
2012-08-17 03:00:00,0.0,4.3,20.0903333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,25.55524323090166,20.0903333333333
2012-08-17 04:00:00,0.0,4.3,20.3906666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,21.995552598925308,20.3906666666667
2012-08-17 05:00:00,4.6,4.3,20.691,1.0,0.5,0.5,0.0,6.0,7.5,17.0,0.16,22.322262790633363,20.691
2012-08-17 06:00:00,27.0,4.3,141.793,20.5,19.5,48.5,52.0,11.0,34.0,3.5,0.16,49.12717158822901,141.793
2012-08-17 07:00:00,18.1,21.6,96.847,14.0,5.0,40.5,62.5,0.0,4.5,0.0,0.16,149.52131505820157,96.847
2012-08-17 08:00:00,13.4,19.9,111.554,3.5,3.0,9.0,46.0,2.0,17.5,12.5,0.16,341.3014444991201,111.55400000000002
2012-08-17 09:00:00,16.2,42.8,769.834,5.0,8.5,29.5,36.0,0.0,19.5,15.0,0.16,398.9120313682258,769.834
2012-08-17 10:00:00,22.4,151.8,528.666,38.0,42.0,11.0,15.0,42.5,6.5,2.0,0.16,869.9533267940283,528.666
2012-08-17 11:00:00,13.1,167.6,738.91,1.0,10.0,11.0,35.0,27.0,4.5,3.0,0.16,1095.8398353468776,738.91
2012-08-17 12:00:00,11.4,84.6,926.555,21.0,15.0,4.0,4.0,26.5,3.5,5.5,0.16,996.6509635385871,926.5550000000001
2012-08-17 13:00:00,20.5,60.7,815.067,15.5,23.0,9.0,3.0,22.5,30.0,40.5,0.16,724.7059544256628,815.067
2012-08-17 14:00:00,30.2,45.5,672.375,41.0,58.5,25.0,24.5,26.0,18.5,18.0,0.16,817.094498470813,672.375
2012-08-17 15:00:00,18.9,66.1,999.165,23.0,27.0,35.5,20.0,19.0,4.0,4.0,0.16,767.5044301156997,999.165
2012-08-17 16:00:00,6.2,99.8,1408.195,6.0,5.5,7.5,6.5,4.0,9.0,5.0,0.16,1147.9290583943725,1408.195
2012-08-17 17:00:00,14.4,134.0,1389.324,11.5,24.5,15.5,5.5,28.5,8.0,7.0,0.16,1538.4030395531058,1389.324
2012-08-17 18:00:00,37.3,131.1,1495.687,41.0,53.5,42.5,47.0,44.5,18.5,14.0,0.16,1488.3420847079158,1495.687
2012-08-17 19:00:00,13.2,42.8,1695.273,6.5,11.0,15.5,11.0,8.0,18.0,22.5,0.16,1605.5459639455676,1695.273
2012-08-17 20:00:00,3.9,55.7,1823.655,2.0,3.0,3.5,2.0,2.5,6.0,8.5,0.16,1407.9646240228415,1823.6550000000002
2012-08-17 21:00:00,0.5,5.13,1379.994,0.0,0.0,0.5,0.5,0.0,1.5,1.0,0.16,1696.1904000772834,1379.994
2012-08-17 22:00:00,0.0,1.71,1078.537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,1007.8841918081044,1078.537
2012-08-17 23:00:00,0.0,1.71,816.694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,933.2743761817217,816.694
2012-08-18 00:00:00,0.0,1.74,688.367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,739.207026017189,688.367
2012-08-18 01:00:00,0.0,1.69,551.145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,649.3933947679997,551.145
2012-08-18 02:00:00,0.0,1.66,510.082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,530.6415698808431,510.082
2012-08-18 03:00:00,0.0,1.69,426.149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,477.68611627534034,426.149
2012-08-18 04:00:00,0.0,1.69,389.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,402.33861622542145,389.66
2012-08-18 05:00:00,0.0,1.66,381.835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,363.0821958401352,381.835
2012-08-18 06:00:00,0.0,1.66,308.009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,343.9659998909533,308.009
2012-08-18 07:00:00,0.0,13.5,328.361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,290.6398168611378,328.361
2012-08-18 08:00:00,0.0,111.1,346.692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,334.11377984127404,346.692
2012-08-18 09:00:00,0.0,88.6,331.376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,664.0212870425283,331.376
2012-08-18 10:00:00,0.0,144.8,369.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,381.14853545071185,369.03
