Time,avg_rain,GB_out,GZ_in,GB_rain,DF_rain,QC_rain,BJ_rain,GA_rain,WL_rain,GZ_rain,E0,Predicted,Observed
2011-09-29 07:00:00,7.5,84.0,122.322,5.5,9.5,14.5,10.5,6.5,0.0,6.0,0.136,174.17921523002536,122.322
2011-09-29 08:00:00,13.1,144.5,62.256,13.5,13.0,22.0,17.5,12.0,0.0,13.5,0.136,173.3702020386085,62.256
2011-09-29 09:00:00,4.4,249.0,274.405,3.5,5.0,5.0,7.0,7.0,0.0,3.5,0.136,563.1146179171651,274.405
2011-09-29 10:00:00,4.6,195.3,410.811,3.0,3.0,6.0,12.5,3.0,0.0,4.5,0.136,951.4874260293842,410.811
2011-09-29 11:00:00,5.5,162.1,386.236,5.0,5.0,9.0,8.5,7.5,0.0,3.5,0.136,665.3839544459879,386.236
2011-09-29 12:00:00,8.2,160.7,372.601,4.5,7.5,11.5,18.5,8.0,0.0,7.5,0.136,620.9904680299908,372.60100000000006
2011-09-29 13:00:00,8.2,142.0,513.972,8.0,11.5,0.0,17.0,13.0,0.0,8.0,0.136,723.5304931411148,513.972
2011-09-29 14:00:00,18.6,101.6,594.324,13.5,22.0,38.0,25.0,14.0,0.0,17.5,0.136,879.4378298988939,594.324
2011-09-29 15:00:00,16.2,69.5,833.42,11.0,21.0,18.0,26.5,20.5,0.0,16.5,0.136,1042.9180838876964,833.42
2011-09-29 16:00:00,16.4,180.5,1219.544,13.5,24.5,21.0,17.0,23.0,0.0,16.0,0.136,1654.1122657288313,1219.544
2011-09-29 17:00:00,12.5,187.0,1271.12,8.5,6.0,12.5,20.5,31.5,0.0,8.5,0.136,2313.1655303254724,1271.12
2011-09-29 18:00:00,12.0,276.1,1284.536,10.5,0.0,24.0,15.0,25.5,0.0,9.0,0.136,2197.853398089886,1284.536
2011-09-29 19:00:00,12.4,250.0,1433.776,11.5,0.0,22.0,21.0,18.5,0.0,13.5,0.136,2248.561246007919,1433.776
2011-09-29 20:00:00,12.9,116.0,1819.638,16.0,0.0,21.0,22.5,15.5,0.0,15.0,0.136,2358.717053108096,1819.638
2011-09-29 21:00:00,11.6,65.2,1953.334,10.5,0.0,22.5,16.5,21.5,0.0,10.0,0.136,2446.6934219803215,1953.3339999999998
2011-09-29 22:00:00,10.1,43.7,2612.973,13.0,0.0,14.0,17.5,16.5,0.0,9.5,0.136,2622.233763777912,2612.973
2011-09-29 23:00:00,5.3,69.1,2947.517,4.0,0.0,14.0,7.5,5.0,0.0,6.5,0.136,3095.914878285885,2947.5170000000003
2011-09-30 00:00:00,3.0,90.6,2891.344,2.0,0.0,3.0,4.0,5.5,0.0,6.5,0.136,3086.1659619240763,2891.344
2011-09-30 01:00:00,6.0,62.2,2391.962,7.5,0.0,7.5,5.5,12.0,0.0,9.5,0.136,2797.4131301407815,2391.962
2011-09-30 02:00:00,7.5,44.7,1872.335,8.5,0.0,11.0,10.5,11.5,0.0,11.0,0.136,2253.3402580876946,1872.335
2011-09-30 03:00:00,4.6,63.8,1625.871,6.5,0.0,4.0,8.5,7.0,0.0,6.0,0.136,2064.029709509015,1625.8709999999999
2011-09-30 04:00:00,4.5,35.0,1546.809,4.5,0.0,8.0,7.0,6.5,0.0,5.5,0.136,1923.7963423061967,1546.809
2011-09-30 05:00:00,4.7,43.1,1526.353,5.0,0.0,5.0,8.0,6.5,0.0,8.5,0.136,1665.2213320254684,1526.353
2011-09-30 06:00:00,3.1,23.7,1670.841,2.5,0.0,7.0,2.5,5.0,0.0,5.0,0.136,1751.572365579188,1670.8409999999997
2011-09-30 07:00:00,2.7,36.8,1467.175,3.5,0.0,0.0,6.0,7.0,0.0,2.5,0.136,1646.270379665077,1467.1749999999997
2011-09-30 08:00:00,3.2,36.8,1214.141,3.0,0.0,6.0,4.5,6.0,0.0,3.0,0.136,1533.3191196390392,1214.141
2011-09-30 09:00:00,2.6,36.8,1333.588,2.0,0.0,0.0,5.0,8.0,0.0,3.0,0.136,1252.9514428086281,1333.588
2011-09-30 10:00:00,4.4,36.8,1192.703,3.0,0.0,12.0,2.5,8.0,0.0,5.5,0.136,1376.5712552789748,1192.703
2011-09-30 11:00:00,30.0,41.4,1251.363,4.0,186.0,10.0,2.5,6.0,0.0,1.5,0.136,1231.6906948009134,1251.363
2011-09-30 12:00:00,4.1,336.8,1253.707,3.0,2.5,5.0,5.5,6.0,0.0,6.5,0.136,1183.3454388419987,1253.707
