Time,avg_rain,GB_out,GZ_in,GB_rain,DF_rain,QC_rain,BJ_rain,GA_rain,WL_rain,GZ_rain,E0,Predicted,Observed
2010-10-05 07:00:00,0.1,0.554,68.941,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.133,23.424168383695186,68.941
2010-10-05 08:00:00,1.1,0.554,49.527,1.5,0.0,2.5,3.5,0.5,0.0,0.0,0.133,54.372402823433276,49.526999999999994
2010-10-05 09:00:00,1.6,72.1,46.719,2.5,1.0,2.0,2.5,0.0,2.0,1.5,0.133,53.48782457137108,46.719
2010-10-05 10:00:00,3.4,125.7,94.72,3.0,2.5,8.0,4.0,1.0,4.0,1.5,0.133,84.84803332836925,94.72
2010-10-05 11:00:00,4.5,188.8,192.276,4.5,0.0,8.0,4.0,0.5,9.5,5.0,0.133,129.8609328018129,192.276
2010-10-05 12:00:00,3.6,142.3,214.397,3.0,2.5,4.5,1.0,1.0,4.5,9.0,0.133,239.34025477468967,214.39699999999996
2010-10-05 13:00:00,7.5,49.4,211.63,13.5,4.0,15.0,2.5,1.5,10.0,6.0,0.133,217.38030829161406,211.63
2010-10-05 14:00:00,1.6,0.583,169.937,0.0,0.0,1.5,0.0,0.0,9.0,1.0,0.133,182.5074862974286,169.937
2010-10-05 15:00:00,0.6,0.983,108.002,1.5,0.0,0.5,0.5,1.0,0.0,0.5,0.133,159.24230615946652,108.002
2010-10-05 16:00:00,8.4,77.8,71.144,11.0,7.0,10.5,5.5,4.0,20.0,0.5,0.133,108.3176197103262,71.144
2010-10-05 17:00:00,9.6,267.0,198.183,3.5,11.5,4.0,8.5,5.5,20.5,13.5,0.133,129.05182157224417,198.183
2010-10-05 18:00:00,0.1,273.0,289.422,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.133,315.30368152785303,289.422
2010-10-05 19:00:00,0.6,264.2,401.863,1.5,0.0,0.0,3.0,0.0,0.0,0.0,0.133,298.8054736421108,401.86300000000006
2010-10-05 20:00:00,0.0,285.2,340.633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.133,377.46697121983766,340.633
2010-10-05 21:00:00,0.0,298.0,361.074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.133,324.6675108386874,361.074
2010-10-05 22:00:00,0.4,292.5,361.287,1.0,1.0,0.0,0.0,0.5,0.0,0.0,0.133,332.49019938892127,361.287
2010-10-05 23:00:00,0.6,284.2,344.082,1.0,0.0,0.5,0.5,0.5,1.0,1.0,0.133,315.1920986059308,344.082
2010-10-06 00:00:00,0.9,264.4,343.947,0.0,1.5,1.5,0.5,0.0,1.5,1.5,0.133,307.4825430666208,343.947
2010-10-06 01:00:00,0.1,241.2,226.272,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.133,295.9698206755519,226.27200000000002
2010-10-06 02:00:00,0.1,117.0,348.524,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.133,216.17093354976177,348.524
2010-10-06 03:00:00,0.1,42.5,226.242,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.133,248.3254161313772,226.24199999999996
2010-10-06 04:00:00,2.4,22.1,65.191,5.0,0.5,4.5,2.5,1.0,1.5,2.0,0.133,166.35881173846127,65.191
2010-10-06 05:00:00,1.6,0.583,165.161,0.0,0.0,3.5,4.0,0.0,3.5,0.5,0.133,90.54422875875234,165.161
2010-10-06 06:00:00,0.1,0.583,84.636,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.133,159.85428599455955,84.636
2010-10-06 07:00:00,0.2,1.44,45.687,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.133,106.36275784656407,45.687
2010-10-06 08:00:00,2.3,41.7,123.413,2.5,6.0,0.5,0.5,5.5,0.0,1.0,0.133,60.78122231458127,123.413
