Time,avg_rain,GB_out,GZ_in,GB_rain,DF_rain,QC_rain,BJ_rain,GA_rain,WL_rain,GZ_rain,E0,Predicted,Observed
2025-06-13 15:00:00,0.1,54.94,89.664,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.197,121.50529710669815,89.664
2025-06-13 16:00:00,0.0,54.37,41.842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.197,111.80150316925346,41.842
2025-06-13 17:00:00,0.1,118.3,133.582,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.197,75.80756675666571,133.582
2025-06-13 18:00:00,0.3,179.24,102.85,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.197,228.20463892303408,102.85
2025-06-13 19:00:00,0.0,181.49,164.721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.197,267.3161220397353,164.721
2025-06-13 20:00:00,0.1,206.48,225.957,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.197,248.78111650958658,225.957
2025-06-13 21:00:00,0.9,210.79,192.465,0.0,0.0,0.0,5.5,1.0,0.0,0.0,0.197,309.6449096802771,192.465
2025-06-13 22:00:00,0.9,203.99,225.309,0.5,2.0,0.0,1.5,2.0,0.5,0.0,0.197,282.8878701604307,225.309
2025-06-13 23:00:00,10.8,220.01,267.945,5.0,41.0,1.5,1.0,24.0,1.0,2.0,0.197,280.63883726742864,267.94500000000005
2025-06-14 00:00:00,26.9,254.94,312.843,16.0,69.0,11.0,8.0,48.0,10.0,26.0,0.197,296.43648087465766,312.843
2025-06-14 01:00:00,14.3,293.62,314.041,13.0,22.0,10.0,11.0,15.0,9.0,20.0,0.197,347.5472902238965,314.041
2025-06-14 02:00:00,10.2,320.11,311.446,12.0,5.0,10.0,14.0,16.0,9.5,5.0,0.197,454.0827882536948,311.446
2025-06-14 03:00:00,2.8,330.99,500.419,3.0,0.5,2.0,9.0,1.5,2.5,1.0,0.197,579.5987568731308,500.419
2025-06-14 04:00:00,5.9,279.03,437.964,5.0,7.5,8.0,7.0,5.0,8.0,1.0,0.197,685.4279312162995,437.96400000000006
2025-06-14 05:00:00,17.9,260.16,451.336,32.0,9.0,5.0,28.0,36.0,11.5,4.0,0.197,505.40098782360553,451.336
2025-06-14 06:00:00,31.9,336.95,520.136,39.0,29.0,26.0,50.0,45.0,26.0,8.0,0.197,562.9477973965406,520.136
2025-06-14 07:00:00,14.1,261.11,945.795,16.0,10.5,13.5,24.0,16.0,13.5,5.0,0.197,792.3950350426435,945.7950000000001
2025-06-14 08:00:00,18.8,317.95,1386.595,9.0,20.0,29.5,12.0,22.0,24.0,15.0,0.197,959.4292869064807,1386.595
2025-06-14 09:00:00,27.5,245.3,1418.043,12.0,25.0,36.0,18.0,21.0,38.0,42.5,0.197,1494.531754341483,1418.043
2025-06-14 10:00:00,31.6,2.62,1699.768,13.0,20.0,61.0,25.0,22.0,50.0,30.5,0.197,1453.1667891933917,1699.768
2025-06-14 11:00:00,11.9,3.81,1775.444,4.0,7.5,26.0,7.0,8.0,23.0,7.5,0.197,1402.4835696042774,1775.4439999999997
2025-06-14 12:00:00,8.7,4.21,1634.368,3.0,9.5,13.0,7.0,6.0,12.0,10.5,0.197,1588.578297802925,1634.368
2025-06-14 13:00:00,1.1,4.54,1357.314,0.0,0.0,3.0,1.5,0.0,3.0,0.0,0.197,1374.3164025771616,1357.314
2025-06-14 14:00:00,0.0,4.25,1022.593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.197,1091.1629461096525,1022.593
2025-06-14 15:00:00,0.0,3.9,806.209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.197,867.8867552778721,806.209
2025-06-14 16:00:00,0.0,3.63,711.454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.197,733.3758362736106,711.454
2025-06-14 17:00:00,0.1,3.54,690.946,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.197,658.1365751122236,690.946
2025-06-14 18:00:00,0.0,3.43,572.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.197,619.551914603293,572.56
2025-06-14 19:00:00,0.0,3.43,487.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.197,520.244993396759,487.125
2025-06-14 20:00:00,0.0,3.23,490.883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.197,449.8815941796005,490.883
2025-06-14 21:00:00,0.0,3.44,390.868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.197,438.7145718088746,390.868
2025-06-14 22:00:00,0.0,3.59,386.352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.197,367.38910875573754,386.35200000000003
2025-06-14 23:00:00,0.0,3.7,343.599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.197,351.0836596543789,343.599
2025-06-15 00:00:00,0.0,3.78,345.932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.197,315.0816255474389,345.9320000000001
2025-06-15 01:00:00,0.0,4.06,348.517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.197,309.93826407924297,348.517
2025-06-15 02:00:00,0.0,4.28,309.453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.197,304.74332410407067,309.453
