time,year,month,day,hour,GB_rain,DF_rain,QC_rain,BJ_rain,GA_rain,WL_rain,GZ_rain,avg_rain,GB_out,GZ_in,GZ_out
2013-01-01 00:00:00,2013,1.0,1.0,0.0,,,,,,,,,335.1,32.121,2.401
2013-01-01 01:00:00,2013,1.0,1.0,1.0,,,,,,,,,135.1,26.324,2.401
2013-01-01 02:00:00,2013,1.0,1.0,2.0,,,,,,,,,13.6,7.9,2.343
2013-01-01 03:00:00,2013,1.0,1.0,3.0,,,,,,,,,4.66,12.42,2.343
2013-01-01 04:00:00,2013,1.0,1.0,4.0,,,,,,,,,4.66,7.9,2.401
2013-01-01 05:00:00,2013,1.0,1.0,5.0,,,,,,,,,4.74,7.9,2.401
2013-01-01 06:00:00,2013,1.0,1.0,6.0,,,,,,,,,4.74,7.9,2.401
2013-01-01 07:00:00,2013,1.0,1.0,7.0,,,,,,,,,4.74,7.9,2.401
2013-01-01 08:00:00,2013,1.0,1.0,8.0,,,,,,,,,4.74,7.9,2.401
2013-01-01 09:00:00,2013,1.0,1.0,9.0,,,,,,,,,51.2,7.9,2.401
2013-01-01 10:00:00,2013,1.0,1.0,10.0,,,,,,,,,90.4,7.9,0.0
2013-01-01 11:00:00,2013,1.0,1.0,11.0,,,,,,,,,149.5,7.9,0.0
2013-01-01 12:00:00,2013,1.0,1.0,12.0,,,,,,,,,168.7,7.9,0.0
2013-01-01 13:00:00,2013,1.0,1.0,13.0,,,,,,,,,20.8,7.9,0.0
2013-01-01 14:00:00,2013,1.0,1.0,14.0,,,,,,,,,4.74,7.9,0.0
2013-01-01 15:00:00,2013,1.0,1.0,15.0,,,,,,,,,4.74,7.9,0.0
2013-01-01 16:00:00,2013,1.0,1.0,16.0,,,,,,,,,4.74,7.9,0.0
2013-01-01 17:00:00,2013,1.0,1.0,17.0,,,,,,,,,19.4,7.9,0.0
2013-01-01 18:00:00,2013,1.0,1.0,18.0,,,,,,,,,104.3,7.9,0.0
2013-01-01 19:00:00,2013,1.0,1.0,19.0,,,,,,,,,236.8,13.334,0.0
2013-01-01 20:00:00,2013,1.0,1.0,20.0,,,,,,,,,175.8,20.001,0.0
2013-01-01 21:00:00,2013,1.0,1.0,21.0,,,,,,,,,104.1,20.001,0.0
2013-01-01 22:00:00,2013,1.0,1.0,22.0,,,,,,,,,4.74,23.333,0.0
2013-01-01 23:00:00,2013,1.0,1.0,23.0,,,,,,,,,4.74,23.334,0.0
