time,year,month,day,hour,GB_rain,DF_rain,QC_rain,BJ_rain,GA_rain,WL_rain,GZ_rain,avg_rain,GB_out,GZ_in,GZ_out
2010-01-01 00:00:00,2010,1.0,1.0,0.0,,,,,,,,,5.73,0.0,18.5
2010-01-01 01:00:00,2010,1.0,1.0,1.0,,,,,,,,,5.65,0.0,18.5
2010-01-01 02:00:00,2010,1.0,1.0,2.0,,,,,,,,,5.65,0.0,18.5
2010-01-01 03:00:00,2010,1.0,1.0,3.0,,,,,,,,,5.65,0.0,18.5
2010-01-01 04:00:00,2010,1.0,1.0,4.0,,,,,,,,,5.65,0.0,18.5
2010-01-01 05:00:00,2010,1.0,1.0,5.0,,,,,,,,,5.65,0.0,18.5
2010-01-01 06:00:00,2010,1.0,1.0,6.0,,,,,,,,,5.65,0.0,17.6
2010-01-01 07:00:00,2010,1.0,1.0,7.0,,,,,,,,,5.65,0.0,17.6
2010-01-01 08:00:00,2010,1.0,1.0,8.0,,,,,,,,,5.65,0.0,18.5
2010-01-01 09:00:00,2010,1.0,1.0,9.0,,,,,0.5,,,0.1,5.42,0.0,17.6
2010-01-01 10:00:00,2010,1.0,1.0,10.0,,,,,,,,,5.42,0.0,17.6
2010-01-01 11:00:00,2010,1.0,1.0,11.0,,,,,,,,,5.42,0.0,17.6
2010-01-01 12:00:00,2010,1.0,1.0,12.0,,,,,,,,,5.42,0.0,17.6
2010-01-01 13:00:00,2010,1.0,1.0,13.0,,,,,,,,,5.42,0.0,17.6
2010-01-01 14:00:00,2010,1.0,1.0,14.0,,,,,,,,,5.42,0.0,17.6
2010-01-01 15:00:00,2010,1.0,1.0,15.0,,,,,,,,,5.42,0.0,14.9
2010-01-01 16:00:00,2010,1.0,1.0,16.0,,,,,,,,,5.5,0.0,16.7
2010-01-01 17:00:00,2010,1.0,1.0,17.0,,,,,,0.5,,0.1,18.5,0.0,16.7
2010-01-01 18:00:00,2010,1.0,1.0,18.0,,,,,,2.5,,0.4,42.9,0.0,16.7
2010-01-01 19:00:00,2010,1.0,1.0,19.0,,,,,,1.0,,0.1,42.8,0.0,16.7
2010-01-01 20:00:00,2010,1.0,1.0,20.0,,0.5,,,,,,0.1,42.7,0.0,16.7
2010-01-01 21:00:00,2010,1.0,1.0,21.0,,,,,,,,,42.5,0.0,16.7
2010-01-01 22:00:00,2010,1.0,1.0,22.0,,,,,,,,,30.1,0.0,16.7
2010-01-01 23:00:00,2010,1.0,1.0,23.0,,1.0,,,0.5,,,0.2,5.5,0.0,15.8
2010-01-02 00:00:00,2010,1.0,2.0,0.0,,,,,,,,,5.5,0.0,16.7
2010-01-02 01:00:00,2010,1.0,2.0,1.0,,,,,,,,,5.5,0.0,16.7
2010-01-02 02:00:00,2010,1.0,2.0,2.0,,,,,,,,,5.5,0.0,15.8
2010-01-02 03:00:00,2010,1.0,2.0,3.0,,,,,,,,,5.5,0.0,16.7
2010-01-02 04:00:00,2010,1.0,2.0,4.0,,,,,,,,,5.5,0.0,16.7
2010-01-02 05:00:00,2010,1.0,2.0,5.0,,,,,,,,,5.5,0.0,16.7
2010-01-02 06:00:00,2010,1.0,2.0,6.0,,,,,,,,,5.5,0.0,16.7
2010-01-02 07:00:00,2010,1.0,2.0,7.0,,,,,0.5,,,0.1,5.5,0.0,16.7
2010-01-02 08:00:00,2010,1.0,2.0,8.0,,,,,,,,,5.5,0.0,15.8
2010-01-02 09:00:00,2010,1.0,2.0,9.0,,,,,,,,,5.5,0.0,16.7
2010-01-02 10:00:00,2010,1.0,2.0,10.0,,,,,,,,,5.5,0.0,16.7
2010-01-02 11:00:00,2010,1.0,2.0,11.0,,,,,,,,,45.3,0.0,16.7
2010-01-02 12:00:00,2010,1.0,2.0,12.0,,,,,,,,,48.4,0.0,16.7
2010-01-02 13:00:00,2010,1.0,2.0,13.0,,,,,,,,,48.4,0.0,15.8
2010-01-02 14:00:00,2010,1.0,2.0,14.0,,,,,,,,,16.1,0.0,15.8
2010-01-02 15:00:00,2010,1.0,2.0,15.0,,,,,,,,,5.5,0.0,15.8
2010-01-02 16:00:00,2010,1.0,2.0,16.0,,,,,,,,,5.58,0.0,57.6
2010-01-02 17:00:00,2010,1.0,2.0,17.0,,,,,,,,,5.89,0.0,22.9
2010-01-02 18:00:00,2010,1.0,2.0,18.0,,0.5,,,0.5,,,0.1,49.0,0.0,17.6
2010-01-02 19:00:00,2010,1.0,2.0,19.0,,,,,,,,,66.4,0.0,15.8
2010-01-02 20:00:00,2010,1.0,2.0,20.0,,,,0.5,,,,0.1,49.0,0.0,15.8
2010-01-02 21:00:00,2010,1.0,2.0,21.0,,,,,,,,,5.5,0.0,15.8
2010-01-02 22:00:00,2010,1.0,2.0,22.0,,,,,,,,,5.5,0.0,14.9
2010-01-02 23:00:00,2010,1.0,2.0,23.0,,,,,,,,,5.5,0.0,25.6
2010-01-03 00:00:00,2010,1.0,3.0,0.0,,,,,,,,,5.5,0.0,18.5
2010-01-03 01:00:00,2010,1.0,3.0,1.0,,,,,,,,,5.5,0.0,16.7
2010-01-03 02:00:00,2010,1.0,3.0,2.0,,,,,,,,,5.5,0.0,15.8
2010-01-03 03:00:00,2010,1.0,3.0,3.0,,,,,,,,,5.5,0.0,15.8
2010-01-03 04:00:00,2010,1.0,3.0,4.0,,,,,,,,,5.5,0.0,15.8
2010-01-03 05:00:00,2010,1.0,3.0,5.0,,,,,,,,,5.5,0.0,15.8
2010-01-03 06:00:00,2010,1.0,3.0,6.0,,,,,,,,,5.5,0.0,15.8
2010-01-03 07:00:00,2010,1.0,3.0,7.0,,,,,,,,,5.5,0.0,15.8
2010-01-03 08:00:00,2010,1.0,3.0,8.0,,,,,,,,,5.5,0.0,15.8
