time,year,month,day,hour,GB_rain,DF_rain,QC_rain,BJ_rain,GA_rain,WL_rain,GZ_rain,avg_rain,GB_out,GZ_in,GZ_out
2018-01-01 00:00:00,2018,1.0,1.0,0.0,,,,,,,,,26.8,36.712,0.0
2018-01-01 01:00:00,2018,1.0,1.0,1.0,,,,,,,,,24.7,30.231,0.0
2018-01-01 02:00:00,2018,1.0,1.0,2.0,,,,,,,,,56.9,13.519,0.0
2018-01-01 03:00:00,2018,1.0,1.0,3.0,,,,,,,,,53.4,26.897,0.0
2018-01-01 04:00:00,2018,1.0,1.0,4.0,,,,,,,,,45.9,23.658,0.0
2018-01-01 05:00:00,2018,1.0,1.0,5.0,,,,,,,,,18.8,13.519,0.0
2018-01-01 06:00:00,2018,1.0,1.0,6.0,,,,,,,,,20.3,23.658,0.0
2018-01-01 07:00:00,2018,1.0,1.0,7.0,,,,,,,,,61.1,10.14,0.0
2018-01-01 08:00:00,2018,1.0,1.0,8.0,,,,,,,,,87.2,16.897,0.0
2018-01-01 09:00:00,2018,1.0,1.0,9.0,,,,,,,,,34.4,27.037,0.0
2018-01-01 10:00:00,2018,1.0,1.0,10.0,,,,,,,,,14.2,14.295,4.664
2018-01-01 11:00:00,2018,1.0,1.0,11.0,,,,,,,,,5.49,18.477,4.809
2018-01-01 12:00:00,2018,1.0,1.0,12.0,,,,,,,,,4.4,12.537,4.918
2018-01-01 13:00:00,2018,1.0,1.0,13.0,,,,,,,,,4.46,9.939,4.695
2018-01-01 14:00:00,2018,1.0,1.0,14.0,,,,,,,,,4.46,7.9,4.748
2018-01-01 15:00:00,2018,1.0,1.0,15.0,,,,,,,,,4.46,7.9,4.655
2018-01-01 16:00:00,2018,1.0,1.0,16.0,,,,,,,,,4.46,7.9,4.708
2018-01-01 17:00:00,2018,1.0,1.0,17.0,,,,,,,,,4.46,7.9,0.0
2018-01-01 18:00:00,2018,1.0,1.0,18.0,,,,,,,,,4.24,7.9,28.884
2018-01-01 19:00:00,2018,1.0,1.0,19.0,,,,,,,,,56.6,7.9,230.68
2018-01-01 20:00:00,2018,1.0,1.0,20.0,,,,,,,,,39.2,7.9,33.08
2018-01-01 21:00:00,2018,1.0,1.0,21.0,,,,,,,,,4.14,12.476,0.0
2018-01-01 22:00:00,2018,1.0,1.0,22.0,,,,,,,,,4.14,7.9,0.0
2018-01-01 23:00:00,2018,1.0,1.0,23.0,,,,,,,,,14.1,8.403,0.0
2018-01-02 00:00:00,2018,1.0,2.0,0.0,,,,,,,,,13.5,13.729,0.0
2018-01-02 01:00:00,2018,1.0,2.0,1.0,,,,,,,,,14.0,7.9,0.0
2018-01-02 02:00:00,2018,1.0,2.0,2.0,,,,,,,,,74.4,7.9,0.0
2018-01-02 03:00:00,2018,1.0,2.0,3.0,,,,,,,,,13.1,7.9,0.0
2018-01-02 04:00:00,2018,1.0,2.0,4.0,,,,,,,,,19.3,13.334,0.0
2018-01-02 05:00:00,2018,1.0,2.0,5.0,,,,,,,,,53.1,10.001,0.0
