time,year,month,day,hour,GB_rain,DF_rain,QC_rain,BJ_rain,GA_rain,WL_rain,GZ_rain,avg_rain,GB_out,GZ_in,GZ_out
2023-01-01 00:00:00,2023,1.0,1.0,0.0,,,,,,,,,0.0,17.71,27.83
2023-01-01 01:00:00,2023,1.0,1.0,1.0,,,,,,,,,0.0,10.739,26.856
2023-01-01 02:00:00,2023,1.0,1.0,2.0,,,,,,,,,0.0,15.017,30.459
2023-01-01 03:00:00,2023,1.0,1.0,3.0,,,,,,,,,0.0,11.928,30.375
2023-01-01 04:00:00,2023,1.0,1.0,4.0,,,,,,,,,0.0,28.685,28.223
2023-01-01 05:00:00,2023,1.0,1.0,5.0,,,,,,,,,0.0,35.667,29.707
2023-01-01 06:00:00,2023,1.0,1.0,6.0,,,,,,,,,0.0,46.025,29.69
2023-01-01 07:00:00,2023,1.0,1.0,7.0,,,,,,,,,0.0,62.52,25.56
2023-01-01 08:00:00,2023,1.0,1.0,8.0,,,,,,,,,0.0,65.163,26.036
2023-01-01 09:00:00,2023,1.0,1.0,9.0,,,,,,,,,0.0,68.088,27.646
2023-01-01 10:00:00,2023,1.0,1.0,10.0,,,,,,,,,0.0,47.713,27.081
2023-01-01 11:00:00,2023,1.0,1.0,11.0,,,,,,,,,0.0,40.386,26.3
2023-01-01 12:00:00,2023,1.0,1.0,12.0,,,,,,,,,0.0,30.082,27.871
2023-01-01 13:00:00,2023,1.0,1.0,13.0,,,,,,,,,0.0,17.337,29.088
2023-01-01 14:00:00,2023,1.0,1.0,14.0,,,,,,,,,0.0,14.626,29.765
2023-01-01 15:00:00,2023,1.0,1.0,15.0,,,,,,,,,0.0,11.758,30.442
2023-01-01 16:00:00,2023,1.0,1.0,16.0,,,,,,,,,0.0,25.081,350.629
2023-01-01 17:00:00,2023,1.0,1.0,17.0,,,,,,,,,0.0,52.19,87.569
2023-01-01 18:00:00,2023,1.0,1.0,18.0,,,,,,,,,0.0,69.259,29.168
2023-01-01 19:00:00,2023,1.0,1.0,19.0,,,,,,,,,0.0,38.54,27.275
2023-01-01 20:00:00,2023,1.0,1.0,20.0,,,,,,,,,0.0,58.27,26.758
2023-01-01 21:00:00,2023,1.0,1.0,21.0,,,,,,,,,0.0,42.501,199.717
2023-01-01 22:00:00,2023,1.0,1.0,22.0,,,,,,,,,0.0,63.013,88.707
2023-01-01 23:00:00,2023,1.0,1.0,23.0,,,,,,,,,0.0,22.27,25.601
2023-01-02 00:00:00,2023,1.0,2.0,0.0,,,,,,,,,0.0,7.9,28.594
2023-01-02 01:00:00,2023,1.0,2.0,1.0,,,,,,,,,0.0,45.51,25.353
2023-01-02 02:00:00,2023,1.0,2.0,2.0,,,,,,,,,0.0,7.9,26.866
2023-01-02 03:00:00,2023,1.0,2.0,3.0,,,,,,,,,0.0,27.386,30.024
2023-01-02 04:00:00,2023,1.0,2.0,4.0,,,,,,,,,0.0,20.677,28.181
2023-01-02 05:00:00,2023,1.0,2.0,5.0,,,,,,,,,0.0,27.932,28.577
2023-01-02 06:00:00,2023,1.0,2.0,6.0,,,,,,,,,0.0,74.735,25.518
2023-01-02 07:00:00,2023,1.0,2.0,7.0,,,,,,,,,0.0,55.369,30.82
2023-01-02 08:00:00,2023,1.0,2.0,8.0,,,,,,,,,0.0,88.755,24.401
2023-01-02 09:00:00,2023,1.0,2.0,9.0,,,,,,,,,0.0,82.369,32.268
2023-01-02 10:00:00,2023,1.0,2.0,10.0,,,,,,,,,0.0,55.114,26.873
2023-01-02 11:00:00,2023,1.0,2.0,11.0,,,,,,,,,0.0,61.787,28.063
